ticker,Start,End,Start Equity,Equity Final [$],Net Profit,Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Max. Drawdown [%],# Trades,Profit Factor,Profit,Loss
8249,2010-01-04,2017-12-29,666666.6666666666,444224.838,-222441.82866666664,-33.36620766620767,-5.04546763328978,25.548002909471833,0.0,-41.695265995266,1,0.0,0.0,-222441.162
9934,2010-01-04,2017-12-29,666666.6666666666,414934.32450000016,-251732.34216666647,-37.759789084789055,-5.867887169985764,13.086330397531572,0.0,-43.41794474294471,3,0.0,0.0,-251731.67549999984
3611,2010-01-04,2017-12-29,666666.6666666666,617234.835,-49431.831666666665,-7.414682164682171,-0.9776783185537208,9.491431778041797,0.0,-25.72805437802044,1,0.0,0.0,-49431.16499999999
6505,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
3040,2010-01-04,2017-12-29,666666.6666666666,811211.3730000001,144544.7063333335,21.68182763182765,2.534228417094031,8.389353446574416,0.30207672536777197,-10.526028462508485,2,5.368074718743374,179948.538,-35403.16499999997
4535,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
1336,2010-01-04,2017-12-29,666666.6666666666,571142.835,-95523.83166666667,-14.328489078489085,-1.9529333732244747,18.059788666832517,0.0,-14.328489078489081,1,0.0,0.0,-95523.16499999998
6175,2010-01-04,2017-12-29,666666.6666666666,1184584.838,517918.17133333336,77.68790338790339,7.606612101032595,26.347704621213342,0.2887011301511358,-29.99982093953113,1,,517918.838,0.0
1582,2010-01-04,2017-12-29,666666.6666666666,520573.4320000001,-146093.23466666654,-21.9139071139071,-3.1053308987098682,10.260742131774249,0.0,-30.034404034404016,2,0.28176043557168834,37478.592000000026,-183571.15999999995
1565,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
6146,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
6204,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
2106,2010-01-04,2017-12-29,666666.6666666666,666666.0,-0.6666666666278616,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
1731,2010-01-04,2017-12-29,666666.6666666666,610805.838,-55860.82866666664,-8.37903267903268,-1.1098143370664393,9.224060001756683,0.0,-8.379032679032683,1,0.0,0.0,-55860.16200000001
2357,2010-01-04,2017-12-29,666666.6666666666,842696.868,176030.2013333334,26.40465660465661,3.0333645203475035,13.496021852615206,0.22475989987817854,-19.52964137211274,1,,176030.86800000007,0.0
