ticker,Start,End,Start Equity,Equity Final [$],Net Profit,Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Max. Drawdown [%],# Trades,Profit Factor,Profit,Loss
3466,2010-01-04,2017-12-29,111111.11111111111,71363.883,-39747.22811111111,-35.77244107244107,-5.489808716569467,7.429723592396738,0.0,-38.15024345024345,2,0.0,0.0,-39747.117
3062,2010-01-04,2017-12-29,111111.11111111111,111111.0,-0.11111111110949423,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
4205,2010-01-04,2017-12-29,111111.11111111111,315630.1675000001,204519.05638888897,184.0674348174349,14.241790903467443,15.364421083432923,0.9269331285657105,-10.525892059735998,5,,204519.16750000007,0.0
1216,2010-01-04,2017-12-29,111111.11111111111,248465.30250000005,137354.19138888892,123.61899586899592,10.808473219950066,25.603139688793856,0.4221542104338394,-23.254292867820702,8,10.461634793570253,156680.4395,-19326.136999999973
3058,2010-01-04,2017-12-29,111111.11111111111,184997.979,73886.86788888888,66.49834759834759,6.717707883716173,18.356801373590585,0.36595198406301604,-9.090709469615799,2,1332.3333333336438,73942.5015,-55.52249999998895
2823,2010-01-04,2017-12-29,111111.11111111111,140152.45,29041.338888888902,26.13733113733115,3.0055501166416088,26.540986051074107,0.11324184078383082,-44.46681336681336,4,2.319866661835574,59992.956000000006,-30951.506
2881,2010-01-04,2017-12-29,111111.11111111111,143538.393,32427.2818888889,29.184682884682893,3.3196157499910006,15.14271022439917,0.21922203494604056,-17.504016586369875,8,2.816331218562346,52723.14750000001,-20295.754499999977
6021,2010-01-04,2017-12-29,111111.11111111111,101801.476,-9309.635111111114,-8.378579978579983,-1.109752023601851,7.542310002603603,0.0,-15.38365938855889,1,0.0,0.0,-9309.524000000001
6155,2010-01-04,2017-12-29,111111.11111111111,100479.476,-10631.635111111114,-9.568381168381173,-1.2744611961232999,6.350450262062749,0.0,-21.7377942531915,1,0.0,0.0,-10631.524000000001
2495,2010-01-04,2017-12-29,111111.11111111111,93705.48000000001,-17405.6311111111,-15.664983664983655,-2.14933876624942,4.367517034434079,0.0,-18.787986787986778,1,0.0,0.0,-17405.519999999993
6201,2010-01-04,2017-12-29,111111.11111111111,109130.37500000003,-1980.7361111110804,-1.7825642825642565,-0.2291187600662159,22.647093350565996,0.0,-26.26228996228994,5,1.0857579145420355,20382.85650000001,-22363.481499999983
1525,2010-01-04,2017-12-29,111111.11111111111,150457.479,39346.36788888888,35.4118665118665,3.9417991964330934,10.822001451539352,0.36423938899697716,-12.49853025815405,1,,39346.479,0.0
8163,2010-01-04,2017-12-29,111111.11111111111,90490.47450000001,-20620.6366111111,-18.5584915084915,-2.5840357686728987,13.593274458963872,0.0,-32.14160833570821,1,0.0,0.0,-20620.52549999999
3005,2010-01-04,2017-12-29,111111.11111111111,95095.2975,-16015.813611111109,-14.414146664146662,-1.9654407752334735,16.54021144803416,0.0,-32.82794776165665,3,0.41994932738131135,7879.423499999998,-23895.125999999993
6150,2010-01-04,2017-12-29,111111.11111111111,72191.48000000001,-38919.6311111111,-35.027603027603014,-5.350734738535589,13.449438135269947,0.0,-48.228966058699875,1,0.0,0.0,-38919.51999999999
2397,2010-01-04,2017-12-29,111111.11111111111,145675.99350000004,34564.88238888893,31.108525258525294,3.514577927965523,18.88359013873919,0.18611810053827946,-40.43621979372237,4,3.2152502916291015,50678.178000000014,-16113.184499999987
2439,2010-01-04,2017-12-29,111111.11111111111,184482.44950000008,73371.33838888897,66.03437058437065,6.6797357349627,17.56833716627776,0.380214454660193,-22.036252785269774,5,5.722070646243247,96142.98250000001,-22771.532999999978
3556,2010-01-04,2017-12-29,111111.11111111111,289335.808,178224.6968888889,160.4024876024876,12.981509978918826,28.99602106169874,0.44769970166928486,-27.269040915611086,3,,178224.80800000002,0.0
3545,2010-01-04,2017-12-29,111111.11111111111,165535.89900000003,54424.787888888924,48.982458082458116,5.215563850665439,17.132357888984156,0.3044276733221273,-28.933092224231473,3,,54424.899000000034,0.0
9960,2010-01-04,2017-12-29,111111.11111111111,111055.47800000002,-55.63311111109215,-0.04996984996983436,-0.006374062759506582,6.630358390698181,0.0,-11.110026528505013,1,0.0,0.0,-55.52199999998663
3169,2010-01-04,2017-12-29,111111.11111111111,74474.028,-36637.083111111104,-32.973307773307766,-4.9742475881486055,20.48951116245225,0.0,-48.56830399040847,2,0.13688738669534528,3510.5400000000072,-40147.512
2365,2010-01-04,2017-12-29,111111.11111111111,116343.476,5232.364888888886,4.709233109233105,0.5885833205688584,5.9250079081223515,0.0993388244700895,-8.695117701276601,1,,5232.475999999998,0.0
1707,2010-01-04,2017-12-29,111111.11111111111,109143.7445,-1967.3666111111088,-1.77053172053172,-0.22756005582191818,9.659827977916075,0.0,-25.792722640036423,3,0.8886826432838703,8834.265500000003,-10801.520999999997
3042,2010-01-04,2017-12-29,111111.11111111111,105529.66350000004,-5581.447611111071,-5.023207873207839,-0.6551058791370301,29.448934854236718,0.0,-49.65879199465684,9,1.1393590614562854,48370.47900000004,-53951.81549999998
4906,2010-01-04,2017-12-29,111111.11111111111,51559.74050000001,-59551.3706111111,-53.596187146187134,-9.327525586358298,10.39713943338726,0.0,-53.59618714618715,3,0.0,0.0,-59551.25949999999
1507,2010-01-04,2017-12-29,111111.11111111111,275262.989,164151.87788888888,147.73693783693784,12.265363230641157,23.74440199299634,0.5165581021690483,-24.66852108787181,5,11.394244646478214,204828.70150000002,-40676.712499999965
4102,2010-01-04,2017-12-29,111111.11111111111,187055.77950000003,75944.66838888892,68.35036990036994,6.868364586752551,16.494583311357232,0.41640121833349897,-30.978214502375213,2,11.321159292360894,90430.47450000001,-14485.69499999999
4609,2010-01-04,2017-12-29,111111.11111111111,91910.47950000002,-19200.631611111094,-17.28048573048572,-2.3904040349363775,6.55331137397244,0.0,-17.28048573048572,1,0.0,0.0,-19200.52049999999
2441,2010-01-04,2017-12-29,111111.11111111111,200103.71900000004,88992.60788888893,80.09352719352722,7.791314047807996,26.875002090280574,0.2899093373699029,-45.81546151618128,5,6.533498759305215,104889.19150000002,-15896.472499999985
6204,2010-01-04,2017-12-29,111111.11111111111,116433.08050000003,5321.969388888916,4.789877239877263,0.5984598465581081,14.272973658420307,0.04192958390314468,-13.63585852386665,4,33.00000000000533,5488.560000000011,-166.47949999997647
1309,2010-01-04,2017-12-29,111111.11111111111,129563.476,18452.364888888886,16.607245007245,1.9787141759447735,12.432861872492973,0.15915194717336725,-18.749053328812636,1,,18452.476,0.0
2061,2010-01-04,2017-12-29,111111.11111111111,111111.0,-0.11111111110949423,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
