ticker,Start,End,Start Equity,Equity Final [$],Net Profit,Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Max. Drawdown [%],# Trades,Profit Factor,Profit,Loss
5392,2010-01-04,2017-12-29,111111.11111111111,202351.67449999996,91240.56338888886,82.11668916668914,7.944991884895747,18.94233700320189,0.41943039465261217,-32.80748822063336,4,5.839866896803602,108056.19200000001,-16815.517499999998
1618,2010-01-04,2017-12-29,111111.11111111111,88713.34600000002,-22397.76511111109,-20.15790875790874,-2.830135071253126,16.648322030040646,0.0,-30.068060318060308,4,0.0,0.0,-22397.653999999977
1414,2010-01-04,2017-12-29,111111.11111111111,118340.7665,7229.655388888888,6.506796356796355,0.8071739489174057,23.639381572615196,0.03414530733124035,-20.039334595220314,3,1.5387721173257338,36887.726500000004,-29657.959999999985
6195,2010-01-04,2017-12-29,111111.11111111111,87435.493,-23675.618111111107,-21.30797760797761,-3.0097664447610084,5.76847154916739,0.0,-23.433779733779737,1,0.0,0.0,-23675.506999999998
5450,2010-01-04,2017-12-29,111111.11111111111,108583.53850000001,-2527.5726111111,-2.2747176247176157,-0.2930157679431167,31.66459013398868,0.0,-55.3769325052661,6,1.2698912874853863,53731.99100000001,-56259.452499999985
1732,2010-01-04,2017-12-29,111111.11111111111,103123.476,-7987.635111111114,-7.1887787887787935,-0.9468985391568707,14.01022279489102,0.0,-23.528107323052218,1,0.0,0.0,-7987.523999999998
8121,2010-01-04,2017-12-29,111111.11111111111,136633.30400000003,25522.192888888923,22.970096570096597,2.6720337608501232,21.79459117089884,0.12260077465540845,-46.31545420864251,5,1.9524201042459384,74239.88900000002,-48717.58499999999
1217,2010-01-04,2017-12-29,111111.11111111111,200214.12800000003,89103.01688888892,80.19289539289541,7.7988970673183555,23.515758403228336,0.3316455686263426,-22.222001827486526,4,1330.3333333333483,89203.235,-100.10699999999532
2478,2010-01-04,2017-12-29,111111.11111111111,102931.486,-8179.625111111105,-7.361569961569958,-0.9704357895457982,5.036027222125242,0.0,-14.282262763994414,1,0.0,0.0,-8179.513999999996
3052,2010-01-04,2017-12-29,111111.11111111111,62130.6975,-48980.41361111111,-44.08231633231633,-7.145094138449348,33.57188996232651,0.0,-52.06982431982432,3,0.0,0.0,-48980.30249999998
5009,2010-01-04,2017-12-29,111111.11111111111,179168.95850000004,68057.84738888893,61.25222390222393,6.282871430814341,14.954498739839764,0.42013253269909745,-9.999488310228822,3,,68057.95850000002,0.0
6163,2010-01-04,2017-12-29,111111.11111111111,61586.02800000003,-49525.08311111108,-44.572519372519345,-7.249304782195831,26.049810403190847,0.0,-69.73501813501811,6,0.8291995691569735,36369.8955,-85894.86749999996
2913,2010-01-04,2017-12-29,111111.11111111111,158062.44950000002,46951.33838888891,42.256346806346826,4.597494940420899,19.246418165010414,0.23887535337765073,-23.68669024835227,4,768.9298245614118,47009.864499999996,-58.41499999999727
2376,2010-01-04,2017-12-29,111111.11111111111,209302.056,98190.9448888889,88.37203877203879,8.410899185064169,17.32190532236835,0.48556432035238617,-20.687849127841773,2,,98191.05600000001,0.0
2321,2010-01-04,2017-12-29,111111.11111111111,125479.659,14368.54788888889,12.931806031806031,1.563036923722061,31.953863675910842,0.04891542818029835,-53.35144218624601,7,1.5068993772840455,68212.4455,-53843.78649999998
5205,2010-01-04,2017-12-29,111111.11111111111,86382.7535,-24728.357611111103,-22.2554441054441,-3.159482045802786,11.137012730701873,0.0,-35.28524715652137,2,0.02045105252289343,513.522500000002,-25241.768999999997
6212,2010-01-04,2017-12-29,111111.11111111111,169800.488,58689.3768888889,52.82059202059203,5.557423692364516,24.586751360982205,0.2260332652643096,-18.221519685479283,4,5.924901185770764,83152.528,-24463.039999999983
3011,2010-01-04,2017-12-29,111111.11111111111,74257.3895,-36853.721611111105,-33.16828261828261,-5.009544561921908,33.08066857743165,0.0,-45.339009374280906,4,0.5250953403761014,26381.751000000004,-63235.36149999999
1307,2010-01-04,2017-12-29,111111.11111111111,138677.71550000002,27566.60438888891,24.81006876006878,2.8666861872615357,13.366776180285811,0.2144635436844907,-16.664601600762253,3,470.2222222222272,27636.047000000006,-69.33149999999733
2231,2010-01-04,2017-12-29,111111.11111111111,123023.51200000002,11912.400888888908,10.721271521271536,1.3073146744510877,7.6450439928262,0.17100158948435337,-15.64223349368965,1,,11912.512000000013,0.0
6144,2010-01-04,2017-12-29,111111.11111111111,105955.509,-5155.602111111104,-4.639946539946535,-0.6040702582985058,9.024862239033515,0.0,-13.80932912520053,2,0.0,0.0,-5155.490999999998
1432,2010-01-04,2017-12-29,111111.11111111111,90820.0815,-20291.02961111111,-18.261844911844914,-2.5388555596932205,11.83416705131389,0.0,-20.531647181647184,2,0.0,0.0,-20290.918499999996
1539,2010-01-04,2017-12-29,111111.11111111111,102807.6845,-8303.426611111106,-7.472991422991421,-0.9856337080484723,32.24828394150026,0.0,-41.93299508144214,5,0.503436232537179,7868.532000000003,-16171.847500000003
2305,2010-01-04,2017-12-29,111111.11111111111,143600.84949999998,32489.738388888873,29.240893790893775,3.3253479789048024,72.31909054648825,0.04598160670683763,-46.69284114149923,6,1.9420564475915036,119961.02900000001,-87471.1795
2540,2010-01-04,2017-12-29,111111.11111111111,67925.869,-43185.2421111111,-38.86665676665676,-6.083051296691389,21.541774268219687,0.0,-60.336419028903656,3,0.0,0.0,-43185.13099999999
