ticker,Start,End,Start Equity,Equity Final [$],Net Profit,Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Max. Drawdown [%],# Trades,Profit Factor,Profit,Loss
3090,2010-01-04,2017-12-29,2000000.0,2271589.507,271589.5070000002,13.579475350000012,1.637134213142999,5.793650388625907,0.28257387024198427,-7.407363605760631,1,,271589.50700000004,0.0
4205,2010-01-04,2017-12-29,2000000.0,1999000.5015000002,-999.4984999997541,-0.04997492499998771,-0.0063747102632127906,0.0178501270235425,0.0,-0.04997492499998479,1,0.0,0.0,-999.4984999998558
1521,2010-01-04,2017-12-29,2000000.0,3708105.9889999996,1708105.9889999996,85.40529944999999,8.19164265223231,26.26477533326504,0.31188702542821206,-31.944430613379502,4,26.473160071927964,1825895.9760000003,-117789.98700000007
4909,2010-01-04,2017-12-29,2000000.0,2000000.0,0.0,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
2028,2010-01-04,2017-12-29,2000000.0,1973508.3240000005,-26491.675999999512,-1.3245837999999757,-0.16990889867799508,27.85878299550933,0.0,-48.19983558618045,3,1.1682538407701057,437788.52700000006,-464280.2029999996
