ticker,Start,End,Start Equity,Equity Final [$],Net Profit,Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Max. Drawdown [%],# Trades,Profit Factor,Profit,Loss
1504,2010-01-04,2017-12-29,2000000.0,3544991.563,1544991.563,77.24957815,7.572723082384658,26.026021603725326,0.29096737095233605,-24.93866040066255,8,5.8276390713972885,1934416.5220000003,-389424.9589999997
8021,2010-01-04,2017-12-29,2000000.0,2000000.0,0.0,0.0,0.0,0.0,,-0.0,0,,0.0,0.0
9930,2010-01-04,2017-12-29,2000000.0,2421817.6925000004,421817.69250000035,21.090884625000015,2.4705892863478685,10.817283972188891,0.228392754844906,-11.99992336467507,2,,421817.69250000035,0.0
6247,2010-01-04,2017-12-29,2000000.0,1998001.5050000001,-1998.494999999879,-0.09992474999999394,-0.01274899819349029,13.121820718871072,0.0,-22.261052700513062,2,0.0,0.0,-1998.4949999999913
3450,2010-01-04,2017-12-29,2000000.0,3078429.9735000003,1078429.9735000003,53.92149867500001,5.654097798123181,17.41204714856789,0.3247233222997688,-19.999920785844083,3,,1078429.9735000003,0.0
