ticker,Start,End,Start Equity,Equity Final [$],Net Profit,Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Max. Drawdown [%],# Trades,Profit Factor,Profit,Loss
3035,2010-01-04,2017-12-29,1000000.0,1179200.3270000003,179200.32700000028,17.92003270000003,2.1244173003867717,33.177247861100156,0.06403235462087922,-57.407248437369994,4,1.9350839326084077,440441.8310000002,-261241.50399999984
2498,2010-01-04,2017-12-29,1000000.0,2698259.365,1698259.3650000002,169.8259365,13.494877503208658,21.624555569577826,0.6240534035387862,-33.9402763671551,1,,1698259.365,0.0
1233,2010-01-04,2017-12-29,1000000.0,1004502.1060000001,4502.106000000145,0.45021060000001456,0.05730307503342136,12.591985404063408,0.00455075773951658,-22.85695933315549,3,1.1771019677996475,37942.25400000007,-33440.14799999989
1906,2010-01-04,2017-12-29,1000000.0,2661334.3985,1661334.3985000001,166.13343985000003,13.295611397071028,40.9271962214644,0.32486005943642193,-36.571275065456085,4,11.578616352201259,1852855.966,-191521.5675
2382,2010-01-04,2017-12-29,1000000.0,699039.4180000002,-300960.5819999998,-30.09605819999998,-4.463518916122233,8.63770825844718,0.0,-35.152766151421474,3,0.0,0.0,-300960.5819999999
2476,2010-01-04,2017-12-29,1000000.0,793324.3210000002,-206675.67899999977,-20.667567899999977,-2.9094592551517695,25.089891218343794,0.0,-54.64430076157076,2,0.4225816112608566,124436.25600000005,-331111.9349999999
8289,2010-01-04,2017-12-29,1000000.0,1181226.2535,181226.2535000001,18.12262535000001,2.1467763850757215,19.982135057649575,0.10743478506586768,-23.529301275296287,1,,181226.25350000002,0.0
3015,2010-01-04,2017-12-29,1000000.0,919831.5925000003,-80168.40749999974,-8.016840749999973,-1.0600448751617586,14.871737036585122,0.0,-28.477152342515943,3,0.4816898301345694,57057.832500000084,-137226.2399999999
2324,2010-01-04,2017-12-29,1000000.0,678058.8420000002,-321941.1579999998,-32.194115799999985,-4.834076159572898,31.177781171545398,0.0,-52.38027129836838,4,0.36565055120488416,96573.408,-418514.56599999976
8032,2010-01-04,2017-12-29,1000000.0,1249373.254,249373.25399999996,24.937325399999995,2.880056023606592,9.745249700350922,0.2955343487507439,-13.333245246500214,1,,249373.254,0.0
